State,County,Fips,Year,FIRate ,NumberFIIndividuals ,ChildFIRate,NumberFIChildren,CostPerMeal 
AR,"Saline County, Arkansas",5125,2021,11.30%,"13,820",12.10%,"3,460",$3.53 
AR,"Scott County, Arkansas",5127,2021,15.70%,"1,560",18.10%,420,$3.13 
AR,"Searcy County, Arkansas",5129,2021,19.90%,"1,570",24.00%,380,$3.57 
AR,"Sebastian County, Arkansas",5131,2021,16.60%,"21,250",19.00%,"5,860",$3.36 
AR,"Sevier County, Arkansas",5133,2021,16.80%,"2,690",18.00%,830,$3.38 
AR,"Sharp County, Arkansas",5135,2021,18.20%,"3,140",21.60%,790,$3.25 
AR,"Stone County, Arkansas",5137,2021,19.60%,"2,430",20.60%,510,$3.45 
AR,"Union County, Arkansas",5139,2021,14.60%,"5,730",22.10%,"2,100",$3.35 
AR,"Van Buren County, Arkansas",5141,2021,17.90%,"2,840",18.30%,560,$3.45 
AR,"Washington County, Arkansas",5143,2021,13.40%,"32,510",12.20%,"7,200",$3.65 
AR,"White County, Arkansas",5145,2021,15.30%,"11,820",16.30%,"2,940",$3.27 
AR,"Woodruff County, Arkansas",5147,2021,15.70%,"1,000",22.90%,320,$3.28 
AR,"Yell County, Arkansas",5149,2021,14.70%,"3,020",15.20%,750,$3.13 
CA,"Alameda County, California",6001,2021,8.10%,"134,800",8.70%,"29,860",$4.47 
CA,"Alpine County, California",6003,2021,10.10%,140,10.70%,30,$3.98 
CA,"Amador County, California",6005,2021,9.10%,"3,660",11.40%,700,$4.52 
CA,"Butte County, California",6007,2021,12.60%,"27,550",15.30%,"6,760",$4.05 
CA,"Calaveras County, California",6009,2021,11.20%,"5,100",16.20%,"1,250",$4.43 
CA,"Colusa County, California",6011,2021,12.40%,"2,700",18.10%,"1,080",$3.64 
CA,"Contra Costa County, California",6013,2021,7.50%,"87,070",9.50%,"24,940",$4.45 
CA,"Del Norte County, California",6015,2021,13.40%,"3,700",18.50%,"1,110",$3.84 
CA,"El Dorado County, California",6017,2021,8.00%,"15,280",8.50%,"3,220",$4.79 
CA,"Fresno County, California",6019,2021,13.60%,"136,560",19.00%,"54,340",$3.60 
CA,"Glenn County, California",6021,2021,11.00%,"3,160",14.10%,"1,100",$3.54 
CA,"Humboldt County, California",6023,2021,13.90%,"19,050",16.00%,"4,210",$4.56 
CA,"Imperial County, California",6025,2021,17.00%,"30,630",24.50%,"12,710",$3.15 
CA,"Inyo County, California",6027,2021,10.20%,"1,920",11.80%,470,$3.62 
CA,"Kern County, California",6029,2021,13.00%,"117,710",18.20%,"47,970",$3.57 
CA,"Kings County, California",6031,2021,12.10%,"18,370",17.80%,"7,360",$3.56 
CA,"Lake County, California",6033,2021,13.40%,"9,070",18.20%,"2,640",$4.40 
CA,"Lassen County, California",6035,2021,10.40%,"3,410",14.40%,780,$4.21 
CA,"Los Angeles County, California",6037,2021,11.30%,"1,132,600",15.50%,"336,120",$3.88 
CA,"Madera County, California",6039,2021,12.40%,"19,340",17.90%,"7,750",$4.22 
CA,"Marin County, California",6041,2021,6.90%,"18,160",3.70%,"1,960",$5.26 
CA,"Mariposa County, California",6043,2021,12.30%,"2,110",17.80%,520,$4.22 
CA,"Mendocino County, California",6045,2021,12.80%,"11,710",16.80%,"3,290",$4.15 
CA,"Merced County, California",6047,2021,13.80%,"38,590",19.60%,"16,170",$3.70 
CA,"Modoc County, California",6049,2021,13.60%,"1,190",19.70%,340,$4.21 
CA,"Mono County, California",6051,2021,8.00%,"1,070",10.90%,290,$4.25 
CA,"Monterey County, California",6053,2021,9.80%,"43,040",13.80%,"15,950",$3.94 
CA,"Napa County, California",6055,2021,7.80%,"10,870",9.50%,"2,700",$4.69 
CA,"Nevada County, California",6057,2021,9.10%,"9,320",9.80%,"1,730",$5.16 
CA,"Orange County, California",6059,2021,8.40%,"267,330",9.20%,"64,460",$3.99 
CA,"Placer County, California",6061,2021,6.90%,"27,790",6.30%,"5,660",$4.50 
CA,"Plumas County, California",6063,2021,12.10%,"2,370",15.90%,540,$4.21 
CA,"Riverside County, California",6065,2021,8.50%,"205,890",12.40%,"75,180",$3.63 
CA,"Sacramento County, California",6067,2021,10.10%,"159,180",14.30%,"53,200",$3.93 
CA,"San Benito County, California",6069,2021,7.10%,"4,520",9.90%,"1,620",$4.64 
CA,"San Bernardino County, California",6071,2021,9.70%,"210,470",14.70%,"84,090",$3.51 
CA,"San Diego County, California",6073,2021,9.00%,"297,010",11.10%,"79,510",$3.95 
CA,"San Francisco County, California",6075,2021,10.10%,"87,690",7.40%,"8,790",$5.14 
CA,"San Joaquin County, California",6077,2021,10.80%,"83,690",15.60%,"32,690",$3.92 
CA,"San Luis Obispo County, California",6079,2021,8.40%,"23,710",9.70%,"4,850",$4.30 
CA,"San Mateo County, California",6081,2021,6.60%,"50,050",4.20%,"6,550",$4.64 
CA,"Santa Barbara County, California",6083,2021,8.90%,"39,990",11.50%,"11,600",$3.89 
CA,"Santa Clara County, California",6085,2021,7.00%,"135,030",4.70%,"19,760",$4.40 
CA,"Santa Cruz County, California",6087,2021,9.00%,"24,550",10.30%,"5,330",$4.72 
CA,"Shasta County, California",6089,2021,12.40%,"22,620",15.70%,"6,210",$3.97 
CA,"Sierra County, California",6091,2021,8.70%,270,9.40%,40,$5.16 
CA,"Siskiyou County, California",6093,2021,13.70%,"6,050",17.50%,"1,570",$3.90 
CA,"Solano County, California",6095,2021,8.30%,"37,290",13.30%,"13,380",$3.90 
CA,"Sonoma County, California",6097,2021,8.30%,"41,080",9.40%,"9,140",$4.61 
CA,"Stanislaus County, California",6099,2021,11.00%,"60,680",15.20%,"22,840",$3.86 
CA,"Sutter County, California",6101,2021,11.70%,"11,550",15.30%,"3,940",$3.73 
CA,"Tehama County, California",6103,2021,13.40%,"8,750",18.40%,"2,890",$3.67 
CA,"Trinity County, California",6105,2021,14.70%,"2,320",20.40%,530,$3.97 
CA,"Tulare County, California",6107,2021,13.60%,"63,940",18.70%,"27,200",$3.62 
CA,"Tuolumne County, California",6109,2021,11.00%,"6,060",13.40%,"1,260",$4.25 
CA,"Ventura County, California",6111,2021,8.00%,"67,210",10.00%,"19,370",$4.03 
CA,"Yolo County, California",6113,2021,9.60%,"20,850",9.90%,"4,490",$4.00 
CA,"Yuba County, California",6115,2021,12.20%,"9,800",15.60%,"3,490",$3.42 
CO,"Adams County, Colorado",8001,2021,9.00%,"46,440",11.90%,"16,140",$3.72 
CO,"Alamosa County, Colorado",8003,2021,12.10%,"1,970",15.80%,630,$4.25 
CO,"Arapahoe County, Colorado",8005,2021,8.30%,"54,070",11.40%,"17,370",$3.98 
CO,"Archuleta County, Colorado",8007,2021,10.30%,"1,360",13.80%,330,$4.39 
CO,"Baca County, Colorado",8009,2021,13.50%,480,14.40%,110,$3.07 
CO,"Bent County, Colorado",8011,2021,16.60%,970,22.70%,210,$3.57 
CO,"Boulder County, Colorado",8013,2021,8.50%,"27,960",6.60%,"4,110",$4.63 
CO,"Broomfield County, Colorado",8014,2021,7.10%,"5,190",5.00%,810,$4.13 
CO,"Chaffee County, Colorado",8015,2021,9.70%,"1,890",11.10%,320,$3.70 
CO,"Cheyenne County, Colorado",8017,2021,8.60%,150,9.00%,40,$3.12 
CO,"Clear Creek County, Colorado",8019,2021,8.40%,790,7.40%,90,$4.19 
CO,"Conejos County, Colorado",8021,2021,11.30%,860,16.00%,320,$4.12 
CO,"Costilla County, Colorado",8023,2021,15.20%,530,21.20%,120,$4.16 
CO,"Crowley County, Colorado",8025,2021,16.10%,970,19.00%,170,$3.60 
CO,"Custer County, Colorado",8027,2021,8.30%,390,12.40%,90,$3.60 
CO,"Delta County, Colorado",8029,2021,13.20%,"4,100",18.00%,"1,090",$3.62 
CO,"Denver County, Colorado",8031,2021,10.50%,"73,930",13.00%,"17,740",$4.26 
CO,"Dolores County, Colorado",8033,2021,9.20%,210,7.10%,20,$3.69 
CO,"Douglas County, Colorado",8035,2021,5.60%,"19,600",3.50%,"3,120",$4.27 
CO,"Eagle County, Colorado",8037,2021,7.40%,"4,100",8.20%,980,$4.53 
CO,"Elbert County, Colorado",8039,2021,5.10%,"1,320",3.80%,210,$3.89 
CO,"El Paso County, Colorado",8041,2021,9.60%,"69,510",12.50%,"21,750",$3.85 
CO,"Fremont County, Colorado",8043,2021,12.60%,"6,200",16.70%,"1,330",$3.60 
CO,"Garfield County, Colorado",8045,2021,7.80%,"4,770",8.70%,"1,340",$3.79 
CO,"Gilpin County, Colorado",8047,2021,8.60%,500,8.70%,80,$4.13 
CO,"Grand County, Colorado",8049,2021,8.30%,"1,300",7.70%,210,$4.85 
CO,"Gunnison County, Colorado",8051,2021,8.70%,"1,470",7.40%,210,$3.59 
CO,"Hinsdale County, Colorado",8053,2021,9.30%,80,11.80%,10,$4.02 
CO,"Huerfano County, Colorado",8055,2021,14.80%,"1,010",24.70%,270,$3.64 
CO,"Jackson County, Colorado",8057,2021,11.20%,150,19.80%,40,$4.85 
CO,"Jefferson County, Colorado",8059,2021,8.20%,"47,380",8.00%,"9,050",$4.15 
CO,"Kiowa County, Colorado",8061,2021,9.10%,130,9.90%,40,$3.53 
CO,"Kit Carson County, Colorado",8063,2021,10.00%,710,11.80%,220,$3.37 
CO,"Lake County, Colorado",8065,2021,8.50%,630,8.70%,120,$4.98 
CO,"La Plata County, Colorado",8067,2021,9.10%,"5,060",10.30%,"1,070",$4.30 
CO,"Larimer County, Colorado",8069,2021,9.00%,"32,050",8.20%,"5,660",$4.08 
CO,"Las Animas County, Colorado",8071,2021,15.70%,"2,290",21.10%,560,$3.59 
CO,"Lincoln County, Colorado",8073,2021,10.50%,590,13.10%,150,$3.97 
CO,"Logan County, Colorado",8075,2021,10.30%,"2,230",12.30%,550,$3.32 
CO,"Mesa County, Colorado",8077,2021,11.10%,"17,110",13.80%,"4,600",$3.72 
CO,"Mineral County, Colorado",8079,2021,10.50%,80,8.80%,10,$4.33 
CO,"Moffat County, Colorado",8081,2021,12.80%,"1,700",14.90%,510,$4.76 
CO,"Montezuma County, Colorado",8083,2021,11.70%,"3,030",14.20%,800,$3.69 
CO,"Montrose County, Colorado",8085,2021,10.10%,"4,270",12.30%,"1,110",$3.87 
CO,"Morgan County, Colorado",8087,2021,9.70%,"2,800",12.10%,910,$3.37 
CO,"Otero County, Colorado",8089,2021,15.30%,"2,860",20.30%,900,$3.53 
CO,"Ouray County, Colorado",8091,2021,7.70%,370,9.50%,70,$3.93 
CO,"Park County, Colorado",8093,2021,6.60%,"1,150",8.50%,230,$4.79 
CO,"Phillips County, Colorado",8095,2021,10.00%,450,10.70%,140,$3.32 
CO,"Pitkin County, Colorado",8097,2021,8.30%,"1,450",7.30%,210,$4.70 
CO,"Prowers County, Colorado",8099,2021,12.50%,"1,490",14.90%,460,$3.15 
CO,"Pueblo County, Colorado",8101,2021,14.00%,"23,520",19.10%,"7,230",$3.53 
CO,"Rio Blanco County, Colorado",8103,2021,10.80%,700,12.90%,210,$3.92 
CO,"Rio Grande County, Colorado",8105,2021,12.20%,"1,400",16.30%,420,$3.69 
CO,"Routt County, Colorado",8107,2021,7.90%,"1,980",6.20%,270,$4.66 
CO,"Saguache County, Colorado",8109,2021,12.10%,770,15.20%,190,$3.60 
CO,"San Juan County, Colorado",8111,2021,10.00%,70,13.30%,10,$4.49 
CO,"San Miguel County, Colorado",8113,2021,9.20%,740,7.90%,110,$3.83 
CO,"Sedgwick County, Colorado",8115,2021,13.10%,320,15.90%,90,$3.39 
CO,"Summit County, Colorado",8117,2021,7.00%,"2,160",6.70%,340,$4.92 
