2 pager title,category,topic_area,variable_name,user_friendly_variable_name,variable_definition,periodicity,aggregation_method,source,url,last_update_date,general_comments
Community wealth,Community Characteristics,Financial,deposits,bank_deposits_per_capita,"Bank deposits per capita at FDIC-insured institutions, 2016",Yearly,Count,"FDIC, Deposit Market Share Reports - Summary of Deposits",https://www7.fdic.gov/sod/sodMarketBank.asp?barItem=2,,
Community wealth,Community Characteristics,Financial,owner_occupied,owner_occupied_units_without_mortgage_per_capita,Owner-occupied units without a mortgage per capita,Yearly,Count,"U.S. Census Bureau, American Community Survey, table S2507",https://www.census.gov/acs/www/data/data-tables-and-tools/subject-tables/,,
Community wealth,Community Characteristics,Financial,pc1f,pc_financial_capital_financial_solvency,Financial capital - financial solvency,NA,Unitless,Derived in Schmitt et al. (2021),https://github.com/schmi-ny/County-Level-Community-Capital-Stocks ,,"Derived from a principal component analysis of financial capital data including localgovfin_07, localgovfin_12, 
owner_occupied_2010, owner_occupied_2012, if multiple years, derived from most recent data"
Community wealth,Community Characteristics,Population,ed_attain,percent_pop_with_at_least_Bachelors,Percent of adult population with at least a Bachelor's degree,Yearly,Percent,"U.S. Census Bureau, American Community Survey, table S1501",https://www.census.gov/acs/www/data/data-tables-and-tools/subject-tables/,,
Community wealth,Community Characteristics,Population,health_factor,health_factors_z_score,Health Factors Z-Score,Yearly,Unitless,"Robert Wood Johnson Foundation, County Health Rankings ",https://www.countyhealthrankings.org/explore-health-rankings/rankings-data-documentation/national-data-documentation-2010-2019,,
Community wealth,Community Characteristics,Population,health_outcome,health_outcomes_z_score,Health Outcome Z-Score,Yearly,Unitless,"Robert Wood Johnson Foundation, County Health Rankings ",https://www.countyhealthrankings.org/explore-health-rankings/rankings-data-documentation/national-data-documentation-2010-2019,,
Community wealth,Food Access,Food Insecurity,food_secure,percent_food_secure,Percent of population food secure,Yearly,Percent,Feeding America Map the Meal Gap,https://www.feedingamerica.org/research/map-the-meal-gap/by-county ,,Data obtained through a data request
Community wealth,Community Characteristics,Population,insured,percent_insured,Percent of population with health insurance,Yearly,Percent,"Robert Wood Johnson Foundation, County Health Rankings ",https://www.countyhealthrankings.org/explore-health-rankings/rankings-data-documentation/national-data-documentation-2010-2019,,
Community wealth,Community Characteristics,Community Resources,primary_care,number_primary_care_physicians_per_10K_pop,"Number of primary care physicians per 10,000 population",Yearly,Count,"Robert Wood Johnson Foundation, County Health Rankings ",https://www.countyhealthrankings.org/explore-health-rankings/rankings-data-documentation/national-data-documentation-2010-2019,,
Community wealth,Community Characteristics,Population,pc1h_healtheducation,pc_human_capital_health_related,Human capital – health-related aspects,NA,Unitless,Derived in Schmitt et al. (2021),https://github.com/schmi-ny/County-Level-Community-Capital-Stocks ,,"Derived from a principal component analysis of human capital data including ed_attain_10, ed_attain_15, health_factors, health_outcomes, rood_secure_rev, food_secure_10, insured_13, insured_10,  primary_care_17,  primary_care_10, if multiple years, derived from most recent data"
Community wealth,Community Characteristics,Population,pc2h_medicalfoodsecurity,pc_human_capital_food_and_health_security,Human capital – food and health security,NA,Unitless,Derived in Schmitt et al. (2021),https://github.com/schmi-ny/County-Level-Community-Capital-Stocks ,,"Derived from a principal component analysis of human capital data including ed_attain_10, ed_attain_15, health_factors, health_outcomes, rood_secure_rev, food_secure_10, insured_13, insured_10,  primary_care_17,  primary_care_10, if multiple years, derived from most recent data"
Community wealth,Community Characteristics,Natural,natamen_scale,natural_amenities_scale,"Natural Amenities Scale, 1999",NA,Unitless,"McGranahan, D., 1999. Natural Amenities Scale. U.S. Department of Agriculture, Economic Research Service ",https://www.ers.usda.gov/data-products/natural-amenities-scale/,,
Community wealth,Community Characteristics,Agriculture,prime_farmland,percent_prime_farmland,"Percent of farmland acres designated as prime farmland, 2012",Yearly,Percent,"U.S. Department of Agriculture, Natural Resource Conservation Service (USDA NRCS). 2012. National Resources Inventory ",https://www.nrcs.usda.gov/wps/portal/nrcs/main/national/technical/nra/nri/,,
Community wealth,Community Characteristics,Natural,conserve_acre,percent_acres_with_conservation_easement,"Percent of total acres with conservation easement, 2016",Yearly,Percent,"National Conservation Easement Database (NCED), 2016. ",https://www.conservationeasement.us/,,
Community wealth,Community Characteristics,Natural,acre_FSA,percent_acres_with_conservation_programs_and_woodlands,"Percent of total acres in conservation-related programs and woodlands, 2017",Yearly,Percent,"U.S. Department of Agriculture, Farm Service Agency (USDA FSA). 2017. FSA Crop Acreage Data ",https://www.fsa.usda.gov/news-room/efoia/electronic-reading-room/frequently-requested-information/crop-acreage-data/index,,
Community wealth,Community Characteristics,Natural,acre_NFS,percent_acres_in_National_Forests,"Percent of total acres in National Forests, 2017 ",Yearly,Percent,U.S. Forest Service (USFS). 2017. Land areas of the National Forest System. FS-383. ,https://www.fs.fed.us/land/staff/lar/LAR2017/LAR_Book_FY2017.pdf,,
Community wealth,Community Characteristics,Natural,pc1n_naturalamenitiesconservation,pc_natural_natural_amenitiss_and_conservation,Natural capital - natural amenity scale and share of acres in National Forest,NA,Unitless,Derived in Schmitt et al. (2021),https://github.com/schmi-ny/County-Level-Community-Capital-Stocks ,,"Derived from a principal component analysis natural capital data including natamen_scale, prime_farmland, conserve_acre, acre_FSA, acre_NFS"
Community wealth,Community Characteristics,Natural,pc2n_farmland,pc_natural_prime_farmland,Natural capital - prime farmland,NA,Unitless,Derived in Schmitt et al. (2021),https://github.com/schmi-ny/County-Level-Community-Capital-Stocks ,,"Derived from a principal component analysis natural capital data including natamen_scale, prime_farmland, conserve_acre, acre_FSA, acre_NFS"
Community wealth,Community Characteristics,Community Resources,assn,number_social_estab_per_1K_pop,"Number of social establishments per 1,000 population",Yearly,Count,"Rupasingha, Goetz, and Freshwater (2006) and 2017 data updates",https://aese.psu.edu/nercrd/community/social-capital-resources,,
Community wealth,Community Characteristics,Population,pvote,percent_eligible_voters_voted,Percent of eligible voters that voted,Yearly,Percent,"Rupasingha, Goetz, and Freshwater (2006) and 2017 data updates",https://aese.psu.edu/nercrd/community/social-capital-resources,,
Community wealth,Community Characteristics,Population,respn,percent_response_rate_US_pop_census,"U.S. Population Census response rate, percent",Yearly,Percent,"Rupasingha, Goetz, and Freshwater (2006) and 2017 data updates",https://aese.psu.edu/nercrd/community/social-capital-resources,,
Community wealth,Community Characteristics,Community Resources,nccs,number_nonprofit_orgs_per_1K_pop,"Number of nonprofit organizations per 1,000 population",Yearly,Count ,"Rupasingha, Goetz, and Freshwater (2006) and 2017 data updates",https://aese.psu.edu/nercrd/community/social-capital-resources,,
Community wealth,Community Characteristics,Community Resources,pc1s_nonprofitsocialindustries,pc_social_non_profit_and_ social_industries,Social capital - number of social establishments and nonprofits per capita,NA,Unitless,Derived in Schmitt et al. (2021),https://github.com/schmi-ny/County-Level-Community-Capital-Stocks ,,"Derived from a principal component analysis of social-political capital including nccs09, nccs14, pvote08, pvote12, respn10, assn09, assn14, if multiple years, derived from most recent data"
Community wealth,Community Characteristics,Population,pc2s_publicvoiceparticipation,pc_social_public_voice_and_ participation,Social capital - Public voice and participation ,NA,Unitless,Derived in Schmitt et al. (2021),https://github.com/schmi-ny/County-Level-Community-Capital-Stocks ,,"Derived from a principal component analysis of social-political capital including nccs09, nccs14, pvote08, pvote12, respn10, assn09, assn14, if multiple years, derived from most recent data"
