2 pager title,category,topic_area,variable_name,user_friendly_variable_name,variable_definition,periodicity,aggregation_method,source,url,last_update_date,general_comments
Labor,Labor,Wages,total_annual_wages_NAICS 4451 Grocery stores,"Wages, total annual, NAICS 4451 Grocery stores",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 44511 Supermarkets and other grocery stores,"Wages, total annual, NAICS 44511 Supermarkets and other grocery stores",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 44512 Convenience stores,"Wages, total annual, NAICS 44512 Convenience stores",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 4452 Specialty food stores,"Wages, total annual, NAICS 4452 Specialty food stores",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,"total_annual_wages_NAICS 4453 Beer, wine, and liquor stores","Wages, total annual, NAICS 4453 Beer, wine, and liquor stores",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 484 Truck transportation,"Wages, total annual, NAICS 484 Truck transportation",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 493 Warehousing and storage,"Wages, total annual, NAICS 493 Warehousing and storage",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 722 Food services and drinking places,"Wages, total annual, NAICS 722 Food services and drinking places",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 7223 Special food services,"Wages, total annual, NAICS 7223 Special food services",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 722320 Caterers,"Wages, total annual, NAICS 722320 Caterers",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 722330 Mobile food services,"Wages, total annual, NAICS 722330 Mobile food services",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,"total_annual_wages_NAICS 7224 Drinking places, alcoholic beverages","Wages, total annual, NAICS 7224 Drinking places, alcoholic beverages",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 7225 Restaurants and other eating places,"Wages, total annual, NAICS 7225 Restaurants and other eating places",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 722511 Full-service restaurants,"Wages, total annual, NAICS 722511 Full-service restaurants",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 111 Crop production,"Employment level, annual average, NAICS 111 Crop production",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 112 Animal production and aquaculture,"Employment level, annual average, NAICS 112 Animal production and aquaculture",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,"annual_avg_emplvl_NAICS 114 Fishing, hunting and trapping","Employment level, annual average, NAICS 114 Fishing, hunting and trapping",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 115 Agriculture and forestry support activities,"Employment level, annual average, NAICS 115 Agriculture and forestry support activities",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 311 Food manufacturing,"Employment level, annual average, NAICS 311 Food manufacturing",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 3111 Animal food manufacturing,"annual_Employment level, annual average, NAICS 3111 Animal food manufacturing",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 3112 Grain and oilseed milling,"Employment level, annual average, NAICS 3112 Grain and oilseed milling",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 3113 Sugar and confectionery product manufacturing,"Employment level, annual average, NAICS 3113 Sugar and confectionery product manufacturing",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 3114 Fruit and vegetable preserving and specialty,"Employment level, annual average, NAICS 3114 Fruit and vegetable preserving and specialty",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 3115 Dairy product manufacturing,"Employment level, annual average, NAICS 3115 Dairy product manufacturing",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 3116 Animal slaughtering and processing,"Employment level, annual average, NAICS 3116 Animal slaughtering and processing",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 3117 Seafood product preparation and packaging,"Employment level, annual average, NAICS 3117 Seafood product preparation and packaging",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 3118 Bakeries and tortilla manufacturing,"Employment level, annual average, NAICS 3118 Bakeries and tortilla manufacturing",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 311811 Retail bakeries,"Employment level, annual average, NAICS 311811 Retail bakeries",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 3119 Other food manufacturing,"Employment level, annual average, NAICS 3119 Other food manufacturing",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 3121 Beverage manufacturing,"Employment level, annual average, NAICS 3121 Beverage manufacturing",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 3122 Tobacco manufacturing,"Employment level, annual average, NAICS 3122 Tobacco manufacturing",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 32532 Pesticide and other ag. chemical mfg.,"Employment level, annual average, NAICS 32532 Pesticide and other ag. chemical mfg.",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 33311 Agricultural implement manufacturing,"Employment level, annual average, NAICS 33311 Agricultural implement manufacturing",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 4244 Grocery and related product wholesalers,"Employment level, annual average, NAICS 4244 Grocery and related product wholesalers",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 4245 Farm product raw material merch. whls.,"Employment level, annual average, NAICS 4245 Farm product raw material merch. whls.",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 4248 Alcoholic beverage merchant wholesalers,"Employment level, annual average, NAICS 4248 Alcoholic beverage merchant wholesalers",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 42491 Farm supplies merchant wholesalers,"Employment level, annual average, NAICS 42491 Farm supplies merchant wholesalers",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 445 Food and beverage stores,"Employment level, annual average, NAICS 445 Food and beverage stores",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 4451 Grocery stores,"Employment level, annual average, NAICS 4451 Grocery stores",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 44511 Supermarkets and other grocery stores,"Employment level, annual average, NAICS 44511 Supermarkets and other grocery stores",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 44512 Convenience stores,"Employment level, annual average, NAICS 44512 Convenience stores",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 4452 Specialty food stores,"Employment level, annual average, NAICS 4452 Specialty food stores",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,"annual_avg_emplvl_NAICS 4453 Beer, wine, and liquor stores","Employment level, annual average, NAICS 4453 Beer, wine, and liquor stores",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 484 Truck transportation,"Employment level, annual average, NAICS 484 Truck transportation",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 493 Warehousing and storage,"Employment level, annual average, NAICS 493 Warehousing and storage",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 722 Food services and drinking places,"Employment level, annual average, NAICS 722 Food services and drinking places",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Employment,annual_avg_emplvl_NAICS 7223 Special food services,"Employment level, annual average, NAICS 7223 Special food services",Annual average of monthly employment levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
