2 pager title,category,topic_area,variable_name,user_friendly_variable_name,variable_definition,periodicity,aggregation_method,format,source,url,last_update_date,general_comments,Libby notes
Nutrition Security and Food Access,Food Access,Food Store,laccess_hhnv,"No car and low access to store, households","No car and low access to store, households",Yearly,Count,integer,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Removed ampersand
Nutrition Security and Food Access,Food Access,Food Store,pct_laccess_hhnv,"No car and low access to store (%), households","No car and low access to store (%), households",Yearly,Percent,percent,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Removed ampersand
Nutrition Security and Food Access,Food Access,Food Store,laccess_snap,"Low access to store, SNAP households","Low access to store, SNAP households",Yearly,Count,integer,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed capitalization
Nutrition Security and Food Access,Food Access,Food Store,pct_laccess_snap,"Low access to store (%), SNAP households","Low access to store (%), SNAP households",Yearly,Percent,percent,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed capitalization
Nutrition Security and Food Access,Food Access,Food Store,laccess_child,"Low access to store, children","Low access to store, children under the age of 18",Yearly,Count,integer,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed definition
Nutrition Security and Food Access,Food Access,Food Store,pct_laccess_child,"Low access to store (%), children","Low access to store (%), children under the age of 18",Yearly,Percent,percent,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed definition
Nutrition Security and Food Access,Food Access,Food Store,laccess_seniors,"Low access to store, seniors","Low access to store, seniors age 60 years and older",Yearly,Count,integer,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed definition
Nutrition Security and Food Access,Food Access,Food Store,pct_laccess_seniors,"Low access to store (%), seniors","Low access to store (%), seniors 60 years and older",Yearly,Percent,percent,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed definition
Nutrition Security and Food Access,Food Access,Food Store,laccess_white,"Low access to store, White","Low access to store, White",Yearly,Count,integer,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed capitalization
Nutrition Security and Food Access,Food Access,Food Store,pct_laccess_white,"Low access to store (%), white","Low access to store (%), White",Yearly,Percent,percent,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed capitalization
Nutrition Security and Food Access,Food Access,Food Store,laccess_black,"Low access to store, Black","Low access to store, Black",Yearly,Count,integer,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed capitalization
Nutrition Security and Food Access,Food Access,Food Store,pct_laccess_black,"Low access to store (%), Black","Low access to store (%), Black",Yearly,Percent,percent,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed capitalization
Nutrition Security and Food Access,Food Access,Food Store,laccess_hisp,"Low access to store, Hispanic ethnicity","Low access to store, Hispanic ethnicity",Yearly,Count,integer,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed capitalization
Nutrition Security and Food Access,Food Access,Food Store,pct_laccess_hisp,"Low access to store (%), Hispanic ethnicity","Low access to store (%), Hispanic ethnicity",Yearly,Percent,percent,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed capitalization
Nutrition Security and Food Access,Food Access,Food Store,laccess_nhasian,"Low access to store, Asian","Low access to store, Asian",Yearly,Count,integer,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed capitalization
Nutrition Security and Food Access,Food Access,Food Store,pct_laccess_nhasian,"Low access to store (%), Asian","Low access to store (%), Asian",Yearly,Percent,percent,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed capitalization
Nutrition Security and Food Access,Food Access,Food Store,laccess_nhna,"Low access to store, American Indian or Alaska Native","Low access to store, American Indian or Alaska Native",Yearly,Count,integer,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed capitalization
Nutrition Security and Food Access,Food Access,Food Store,pct_laccess_nhna,"Low access to store (%), American Indian or Alaska Native","Low access to store (%), American Indian or Alaska Native",Yearly,Percent,percent,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed capitalization
Nutrition Security and Food Access,Food Access,Food Store,laccess_nhpi,"Low access to store, Hawaiian or Pacific Islander","Low access to store, Hawaiian or Pacific Islander",Yearly,Count,integer,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed capitalization
Nutrition Security and Food Access,Food Access,Food Store,pct_laccess_nhpi,"Low access to store (%), Hawaiian or Pacific ISlander","Low access to store (%), Hawaiian or Pacific Islander",Yearly,Percent,percent,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed capitalization
Nutrition Security and Food Access,Food Access,Food Store,laccess_multir,"Low access to store, multiracial","Low access to store, multiracial",Yearly,Count,integer,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,
Nutrition Security and Food Access,Food Access,Food Store,pct_laccess_multir,"Low access to store (%), multiracial","Low access to store (%), multiracial",Yearly,Percent,percent,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,
Nutrition Security and Food Access,Food Retail,Food Store,groc,Grocery stores,Number of grocery stores,Yearly,Count,integer,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed category
Nutrition Security and Food Access,Food Retail,Food Store,grocpth,"Grocery stores/1,000 pop","Grocery stores per 1,000 population",Yearly,"# per 1,000 pop",number,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed category
Nutrition Security and Food Access,Food Retail,Food Store,superc,Supercenters and club stores,Number of supercenters and club stores,Yearly,Count,integer,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed category and definition
Nutrition Security and Food Access,Food Retail,Food Store,supercpth,"Supercenters and club stores/1,000 pop","Supercenters and club stores per 1,000 population",Yearly,"# per 1,000 pop",number,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed category and definition
Nutrition Security and Food Access,Food Retail,Food Store,convspth,"Convenience stores/1,000 pop","Convenience stores per 1,000 population",Yearly,"# per 1,000 pop",number,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed category and definition
Nutrition Security and Food Access,Food Retail,Food Store,specs,Specialized food stores,Number of specialized food stores,Yearly,Count,integer,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed category
Nutrition Security and Food Access,Food Retail,Food Store,specspth,"Specialized food stores/1,000 pop","Specialized food stores per 1,000 population",Yearly,"# per 1,000 pop",number,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed category and definition
Nutrition Security and Food Access,Food Retail,Food Store,ffr,Fast-food restaurants,Number of fast-food restaurants,Yearly,Count,integer,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed category
Nutrition Security and Food Access,Food Retail,Food Store,ffrpth,"Fast-food restaurants/1,000 pop","Fast-food restaurants per 1,000 population",Yearly,"# per 1,000 pop",number,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed category and definition
Nutrition Security and Food Access,Food Retail,Food Store,snapspth,"SNAP-authorized stores/1,000 pop","SNAP-authorized stores per 1,000 population",Yearly,"# per 1,000 pop",number,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed category and definition
Nutrition Security and Food Access,Food Retail,Food Store,fmrktpth,"Farmers' markets/1,000 pop","Farmers' markets per 1,000 population",Yearly,"# per 1,000 pop",number,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed category and definition
Nutrition Security and Food Access,Food Retail,Food Store,retail_density_index,Retail food store density index,"Retail food store density index, 1 represents the county in the U.S. with the highest retail density and 0 reprents the lowest",Yearly,Index,number,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,
Nutrition Security and Food Access,Labor,Food Preparation,mean_usual_hours,"Hours worked, average for workers 16-64, in the past 12 months",Mean usual hours worked in the past 12 months for workers aged 16 to 64 years,Yearly,Mean ,number,"U.S. Census Bureau, American Community Survey, B23020  MEAN USUAL HOURS WORKED IN THE PAST 12 MONTHS FOR WORKERS 16 TO 64 YEARS",https://data.census.gov/cedsci/table?q=mean%20hours%20worked&tid=ACSDT5Y2020.B23020,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,mean_usual_hours_male,"Hours worked, average for workers 16-64, in the past 12 months, Male",Mean usual hours worked in the past 12 months for Male workers aged 16 to 64 years,Yearly,Mean ,number,"U.S. Census Bureau, American Community Survey, B23020  MEAN USUAL HOURS WORKED IN THE PAST 12 MONTHS FOR WORKERS 16 TO 64 YEARS",https://data.census.gov/cedsci/table?q=mean%20hours%20worked&tid=ACSDT5Y2020.B23020,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,mean_usual_hours_female,"Hours worked, average for workers 16-64, in the past 12 months, Female",Mean usual hours worked in the past 12 months for Female workers aged 16 to 64 years,Yearly,Mean ,number,"U.S. Census Bureau, American Community Survey, B23020  MEAN USUAL HOURS WORKED IN THE PAST 12 MONTHS FOR WORKERS 16 TO 64 YEARS",https://data.census.gov/cedsci/table?q=mean%20hours%20worked&tid=ACSDT5Y2020.B23020,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,travel_time_total,"Number of workers, 16 year of age and over, who did not work at home","Number of workers, 16 year of age and over, who did not work at home",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, B08303  TRAVEL TIME TO WORK",https://data.census.gov/cedsci/table?q=b08303&tid=ACSDT5Y2020.B08303,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,travel_time_less_than_5_minutes,Travel time less than 5 minutes,"Number of workers, 16 year of age and over, with travel time to work less than 5 minutes",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, B08303  TRAVEL TIME TO WORK",https://data.census.gov/cedsci/table?q=b08303&tid=ACSDT5Y2020.B08303,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,travel_time_5_to_9_minutes,Travel time 5 to 9 minutes,"Number of workers, 16 year of age and over, with travel time to work between 5 to 9 minutes",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, B08303  TRAVEL TIME TO WORK",https://data.census.gov/cedsci/table?q=b08303&tid=ACSDT5Y2020.B08303,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,travel_time_10_to_14_minutes,Travel time 10 to 14 minutes,"Number of workers, 16 year of age and over, with travel time to work between 10 to 14 minutes",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, B08303  TRAVEL TIME TO WORK",https://data.census.gov/cedsci/table?q=b08303&tid=ACSDT5Y2020.B08303,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,travel_time_15_to_19_minutes,Travel time 15 to 19 minutes,"Number of workers, 16 year of age and over, with travel time to work between 15 to 19 minutes",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, B08303  TRAVEL TIME TO WORK",https://data.census.gov/cedsci/table?q=b08303&tid=ACSDT5Y2020.B08303,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,travel_time_20_to_24_minutes,Travel time 20 to 24 minutes,"Number of workers, 16 year of age and over, with travel time to work between 20 to 24 minutes",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, B08303  TRAVEL TIME TO WORK",https://data.census.gov/cedsci/table?q=b08303&tid=ACSDT5Y2020.B08303,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,travel_time_25_to_29_minutes,Travel time 25 to 29 minutes,"Number of workers, 16 year of age and over, with travel time to work between 25 to 29 minutes",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, B08303  TRAVEL TIME TO WORK",https://data.census.gov/cedsci/table?q=b08303&tid=ACSDT5Y2020.B08303,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,travel_time_30_to_34_minutes,Travel time 30 to 34 minutes,"Number of workers, 16 year of age and over, with travel time to work between 30 to 34 minutes",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, B08303  TRAVEL TIME TO WORK",https://data.census.gov/cedsci/table?q=b08303&tid=ACSDT5Y2020.B08303,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,travel_time_35_to_39_minutes,Travel time 35 to 39 minutes,"Number of workers, 16 year of age and over, with travel time to work between 35 to 39 minutes",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, B08303  TRAVEL TIME TO WORK",https://data.census.gov/cedsci/table?q=b08303&tid=ACSDT5Y2020.B08303,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,travel_time_40_to_44_minutes,Travel time 40 to 44 minutes,"Number of workers, 16 year of age and over, with travel time to work between 40 to 44 minutes",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, B08303  TRAVEL TIME TO WORK",https://data.census.gov/cedsci/table?q=b08303&tid=ACSDT5Y2020.B08303,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,travel_time_45_to_59_minutes,Travel time 45 to 59 minutes,"Number of workers, 16 year of age and over, with travel time to work between 45 to 59 minutes",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, B08303  TRAVEL TIME TO WORK",https://data.census.gov/cedsci/table?q=b08303&tid=ACSDT5Y2020.B08303,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,travel_time_60_to_89_minutes,Travel time 60 to 89 minutes,"Number of workers, 16 year of age and over, with travel time to work between 60 to 89 minutes",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, B08303  TRAVEL TIME TO WORK",https://data.census.gov/cedsci/table?q=b08303&tid=ACSDT5Y2020.B08303,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,travel_time_90_or_more_minutes,Travel time 90 or more minutes,"Number of workers, 16 year of age and over, with travel time to work of 90 or more minutes",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, B08303  TRAVEL TIME TO WORK",https://data.census.gov/cedsci/table?q=b08303&tid=ACSDT5Y2020.B08303,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,travel_time_less_than_5_minutes_pct,Travel time less than 5 minutes (%),"Percent of workers, 16 year of age and over, with travel time to work less than 5 minutes",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, B08303  TRAVEL TIME TO WORK",https://data.census.gov/cedsci/table?q=b08303&tid=ACSDT5Y2020.B08303,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,travel_time_5_to_9_minutes_pct,Travel time 5 to 9 minutes (%),"Percent of workers, 16 year of age and over, with travel time to work between 5 to 9 minutes",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, B08303  TRAVEL TIME TO WORK",https://data.census.gov/cedsci/table?q=b08303&tid=ACSDT5Y2020.B08303,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,travel_time_10_to_14_minutes_pct,Travel time 10 to 14 minutes (%),"Percent of workers, 16 year of age and over, with travel time to work between 10 to 14 minutes",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, B08303  TRAVEL TIME TO WORK",https://data.census.gov/cedsci/table?q=b08303&tid=ACSDT5Y2020.B08303,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,travel_time_15_to_19_minutes_pct,Travel time 15 to 19 minutes (%),"Percent of workers, 16 year of age and over, with travel time to work between 15 to 19 minutes",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, B08303  TRAVEL TIME TO WORK",https://data.census.gov/cedsci/table?q=b08303&tid=ACSDT5Y2020.B08303,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,travel_time_20_to_24_minutes_pct,Travel time 20 to 24 minutes (%),"Percent of workers, 16 year of age and over, with travel time to work between 20 to 24 minutes",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, B08303  TRAVEL TIME TO WORK",https://data.census.gov/cedsci/table?q=b08303&tid=ACSDT5Y2020.B08303,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,travel_time_25_to_29_minutes_pct,Travel time 25 to 29 minutes (%),"Percent of workers, 16 year of age and over, with travel time to work between 25 to 29 minutes",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, B08303  TRAVEL TIME TO WORK",https://data.census.gov/cedsci/table?q=b08303&tid=ACSDT5Y2020.B08303,9/23/22,,Changed category and definition
Nutrition Security and Food Access,Labor,Food Preparation,travel_time_30_to_34_minutes_pct,Travel time 30 to 34 minutes (%),"Percent of workers, 16 year of age and over, with travel time to work between 30 to 34 minutes",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, B08303  TRAVEL TIME TO WORK",https://data.census.gov/cedsci/table?q=b08303&tid=ACSDT5Y2020.B08303,9/23/22,,Changed category and definition
